Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
575    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.987978143645563 2.5065765309994563 -5.151676521737221
576    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.95045172533409 2.5131351733519165 -5.267597001286353
577    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.948804825605677 2.564471632065749 -5.217979574022267
578    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.984583847766679 2.379801112354834 -5.087031898478154
579    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.94578377624684 2.562507805629149 -5.13104816040009
580    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.953304019440171 2.479150570264978 -5.202019737688338
581    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.126837646329236 2.5567176200365678 -5.3395742785728295
582    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.936117855042747 2.507802672612272 -5.157322103920205
583    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.91132884675001 2.6252278938139533 -5.114894446464837
584    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.00909090909090909 9.938909703249191 2.502466767859638 -5.156997308914563
585    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.93087951036429 2.5644066245909154 -5.215916224537797
586    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.01818181818181818 9.938242953003058 2.509760990695862 -5.15862060362753
587    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.942186909923713 2.5266981951080725 -5.201776966990055
588    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.962170998649526 2.5191171806382333 -5.248401910580982
589    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.905158251218717 2.503137714109949 -5.1520764357004065
590    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.909619207380931 2.3878214208866333 -5.254108266399737
591    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.9525541987881 2.5205728082459897 -5.154990642094091
592    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.939447234582449 2.5016200523908525 -5.15393373153553
593    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.937304997799107 2.512272794454015 -5.154715955852165
594    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.943771401082504 2.501632399496688 -5.148573088301412
595    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.01818181818181818 9.932042160177282 2.515986911175975 -5.155317114889672
596    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.94607279086693 2.5109039060018192 -5.171734309419405
597    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.012474141603962 2.565576193231093 -5.10953214510762
598    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.972918131764835 2.4999775109874527 -5.135178540925917
599    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.941472705749835 2.504961641881718 -5.175163259266508
600    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.905655877522532 2.5363389079707543 -5.16584601555427
601    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 9.928080246381752 2.5182493907343075 -5.15235830743388
602    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.953238523980104 2.5099706136136315 -5.176164119615104
603    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.940751518668453 2.5069425311446913 -5.1582371275120575
604    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10303030303030301 10.052325480963862 2.5496171393326312 -5.05112007825732
605    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 10.12335444550867 2.3557489393345215 -5.083410029771254
606    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.9623264242897 2.515341842000677 -5.205453116131151
607    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.936971302714102 2.5056628564464978 -5.159033240808312
608    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.915192969090219 2.50556901905497 -5.160571216871366
609    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.866778540951024 2.4972554502318767 -5.087036609161716
610    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0 9.945347512767736 2.504141418181406 -5.1558184232325805
611    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.950139389500368 2.495922027973494 -5.181954261847063
612    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.860169938327068 2.51384239338732 -5.174017426414072
613    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878786 9.937241287120584 2.472393131083763 -5.028852195515826
614    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.892067604748874 2.5584825260751307 -5.189744932000621
615    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.908543257874681 2.4801489854811067 -5.162002065858201
616    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.92920539721126 2.495792537159004 -5.174892398199914
617    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.908214982333535 2.4674638421745234 -5.159325963161498
618    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.90198255422087 2.542067933868622 -5.1099604368548865
619    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.92293254759182 2.3655824427037064 -5.075839532245784
620    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06666666666666665 9.936677759823777 2.550274474396583 -5.16640016074339
621    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.910532447575333 2.4987191175306696 -5.2111932897258075
622    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.805229701387093 2.540804761213436 -5.2317396414920205
623    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.940340049918506 2.5048367334538133 -5.1598260533319165
624    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.934164286243574 2.462824027567434 -5.095662259613838
625    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.939033630811187 2.509523354784476 -5.159440148768295
626    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.938629943881844 2.5045577220103135 -5.162003790065088
627    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.862323627896059 2.3887092412107576 -5.302970744114033
628    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.035018534317807 2.4403814344977137 -5.187380949497787
629    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.941366085759519 2.557586692393557 -5.1980179144228815
630    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.958257493557781 2.498247644647507 -5.160464494659471
631    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848485 10.073456221096349 2.5719501032693177 -5.100026876879984
632    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.778633978307733 2.5628149260570896 -5.2691656387893175
633    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.978050872671608 2.600072915546295 -5.128605005143134
634    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.906089368362405 2.4751426757302175 -5.226554941985784
635    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.91559997081954 2.4168137050901395 -5.158537613096647
636    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.994493664340128 2.3864427455543717 -5.229762337241671
637    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.943220155243282 2.5089534233607638 -5.14852301372925
638    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.952856686505156 2.482267020605831 -5.172656071949061
639    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727272 9.971585549495192 2.628004525740898 -5.1799029726698915
640    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.938455468029163 2.508101617240933 -5.158355928595076
641    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.929685527746935 2.5079019727894183 -5.175769017654138
642    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.925154417599197 2.511589303811587 -5.126848617049593
643    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.864073301242447 2.497040917998576 -5.148710585676263
644    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.936796290697604 2.5328954375793065 -5.20622331246453
645    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.906300030392105 2.4866618999426233 -5.188911854083131
646    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0 9.919865925988807 2.521230904969394 -5.157988119554944
647    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.859758310164345 2.423633799838731 -5.257544430901292
648    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.81727286330353 2.55576691891278 -5.02255776222872
649    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04545454545454545 9.923087731627266 2.524974762774334 -5.0901905548663935
650    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.98245070981702 2.487711740650127 -5.208859769372339
651    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.905875876013559 2.4972906218098463 -5.1440240694363135
652    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.948396463343297 2.505105911190427 -5.157487163026324
653    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.93913373877201 2.506374083103667 -5.157679827297506
654    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.924388501897173 2.5471580628236725 -5.211965447602987
655    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.938839339960587 2.488861804066985 -5.1257629718424305
656    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.959350486938607 2.4886031350996065 -5.126860981934044
657    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09696969696969696 9.971276998276563 2.5700443685239125 -5.042270652008439
658    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 10.058173271074955 2.481501209484774 -5.108343666871758
659    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.848102371988082 2.4694102466113197 -5.152275304508807
660    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 10.016037792733131 2.4833732155029904 -5.289092330306269
661    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.13636363636363635 10.091992082875374 2.4757453915765875 -5.086727433982004
662    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.93220099587328 2.509724011137116 -5.179112574793332
663    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.998112359729367 2.5842999677786214 -5.299753681989442
664    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.10303030303030301 9.926368521712595 2.500604165055348 -5.121941272611649
665    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.939468311598098 2.5027325262558904 -5.161608972957988
666    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06060606060606061 10.017274421687384 2.398116291872305 -5.132377476508676
667    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.948586894397573 2.5128596807205645 -5.152392140081714
668    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.945658883452909 2.493968604917661 -5.193464024790101
669    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.09696969696969696 9.977476630901291 2.5343577510625708 -5.023135725867757
670    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 10.060814256939638 2.580320494672678 -5.270475776479321
671    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.938407444659543 2.51011611897921 -5.191795639796993
672    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.972247466400255 2.6019994538159175 -5.150973025845955
673    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.920669198054204 2.456905101632927 -5.122999502222798
674    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545454 9.965558543517103 2.54555153376352 -5.1477445816076335
675    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0787878787878788 10.048410165943535 2.617621614847699 -5.269369531807965
676    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.965187868906664 2.398409239852222 -5.191333290308635
677    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.84292433687129 2.559710190907437 -5.319443563329225
678    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.9272977896817 2.379123300370192 -5.1022957616397875
679    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08787878787878788 9.872222194055706 2.5595347585655284 -5.180888094177366
680    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.934061262325736 2.506771749211533 -5.160488209173291
681    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.901335571774197 2.5049522954958046 -5.204416154831684
682    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.935521181654458 2.5106634749429673 -5.186846744403123
683    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.950980302140513 2.5201192059662314 -5.195488597098397
684    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.918496357794968 2.4876292743360615 -5.152546257396644
685    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727272 9.880034894332328 2.6306605664370526 -5.1530525661728435
686    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.920109140654006 2.539667845377889 -5.2054881574775775
687    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.933562205454251 2.5215430714608993 -5.1950460009425425
688    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.969261625715221 2.4345295193631498 -5.121007725741153
689    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 10.032713837850828 2.5775188711593144 -5.165216832233869
690    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.983145627178807 2.415613667076392 -5.045420372837968
691    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.962464345755702 2.467993909168938 -5.089970605927151
692    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.07272727272727271 9.97132387372257 2.5369980530828773 -5.149578229562798
693    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.940634922334711 2.5018154969024464 -5.157136196090707
694    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.924945495847904 2.4626090265354335 -5.173006215765205
695    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 9.923782483315332 2.498234223902703 -5.220292813584745
696    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.98835981324983 2.5858015266849224 -5.116262206729648
697    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.900752796547266 2.517445278214199 -5.161242526954744
698    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.06969696969696969 9.944382891225933 2.55059798981885 -5.172908193200044
699    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.948969651792385 2.4398825412771523 -5.12728606268046
700    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.92565826832552 2.468015967379311 -5.160503100908541
701    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.964210166998674 2.539632399033631 -5.176673558031691
702    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.946903279342138 2.469090489216213 -5.1910921241005274
703    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.935387398825169 2.445949437371422 -5.122774897955341
704    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1 9.88488847266259 2.673556441332286 -5.1267185401590085
705    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.12121212121212122 9.96850040865097 2.622730960836978 -5.092702155661724
706    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.1 9.87088262298626 2.6752638870201206 -5.122993149382952
707    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.929238354703873 2.503675051390604 -5.1510230781834965
708    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.862016216915421 2.459641794272847 -5.239879080370771
709    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.045454545454545456 9.851609159616478 2.5291891597322795 -5.171981718308765
710    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0 9.930231324729867 2.354993199396697 -4.983585574300772
711    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.975612737695101 2.341841248665462 -5.170528803805969
712    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424243 10.00740437218746 2.4273691071734143 -5.072912242347556
713    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.99215573615148 2.6109418433604086 -5.3673875237828845
714    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.826318537482722 2.592565602708611 -5.104810968721583
715    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.987859526142065 2.453144797561394 -5.173755289900047
716    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.857489291255586 2.604397679678441 -5.228883772406578
717    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.938883946915766 2.505714294788116 -5.157940925170325
718    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.929302755442574 2.5540596080536755 -5.171995144214661
719    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575757 10.008107033128683 2.4860391014270053 -5.140360916828112
720    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.015151515151515152 9.901343344277715 2.4230850401800064 -5.175010711181833
721    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.021212121212121213 9.952374450443042 2.489670381692107 -5.182722825819894
722    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.91964012290878 2.49005700875296 -5.129884707911539
723    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0030303030303030307 9.938492374241054 2.5067188729113 -5.15661213868309
724    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.942975187356307 2.50560030617142 -5.153777999416326
725    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.0030303030303030303 9.958736611700845 2.401916253848715 -5.236155808968464
726    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.95443741162316 2.49244760077627 -5.190985917225679
727    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05757575757575758 9.920394483290384 2.5461264361647737 -5.10451401105349
728    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.08484848484848485 9.996591537545484 2.6312251887773073 -5.237218499081297
729    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0393939393939394 9.883707793484705 2.54367012657588 -5.164975460358952
730    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.027272727272727275 9.861020299766368 2.4670102252867454 -5.186080851249582
731    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.949227647631375 2.5048802043658775 -5.164210489776212

       Eff_Test             f1               f2                  f3
      -0.045454545454545456 9.93903629818035 2.5065005576477706 -5.157512297774112
