Step    Eff_PrevBest F1 F2 F3    Eff_Curr f1 f2 f3
179    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03636363636363636 9.98283738932301 2.549816316728499 -5.209164864350871
180    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.030303030303030304 9.932311167735845 2.4921837706941217 -5.314984024353914
181    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.00909090909090909 9.939240825828383 2.509641945602014 -5.15960483698115
182    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.051515151515151514 9.952389171949855 2.532678708599606 -5.15954179198926
183    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0060606060606060615 9.889143564106723 2.524994912314096 -5.159966013240662
184    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.04242424242424242 9.972017446687666 2.524698844521545 -5.13610400629602
185    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.0696969696969697 9.916595634427773 2.5065965275926807 -5.123144591782036
186    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.05454545454545455 9.951007454934329 2.50585117957109 -5.137624970031579
187    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.024242424242424242 9.937825876595895 2.504392361325886 -5.157973159647464
188    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    0.006060606060606061 9.933216675999367 2.4945147157563343 -5.167100388747436
189    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.012121212121212121 9.953165315417372 2.4833320683648217 -5.162614919967813
190    0.012121212121212121 9.93903629818035 2.5065005576477706 -5.157512297774112    -0.03333333333333333 9.99618912776843 2.552568731439057 -5.197195898390185
